movieId,title,genres,rating
49,When Night Is Falling (1995),Drama|Romance,3.0
55,Georgia (1995),Drama,4.0
77,Nico Icon (1995),Documentary,4.0
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,3.0
96,In the Bleak Midwinter (1995),Comedy|Drama,3.5
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,4.0
108,Catwalk (1996),Documentary,4.0
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,3.0
128,Jupiter's Wife (1994),Documentary,3.0
129,Pie in the Sky (1996),Comedy|Romance,2.0
137,Man of the Year (1995),Documentary,3.0
148,"Awfully Big Adventure, An (1995)",Drama,5.0
149,Amateur (1994),Crime|Drama|Thriller,2.0
178,Love & Human Remains (1993),Comedy|Drama,1.0
189,Reckless (1995),Comedy|Fantasy,3.0
201,Three Wishes (1995),Drama|Fantasy,3.0
202,Total Eclipse (1995),Drama|Romance,3.0
219,"Cure, The (1995)",Drama,3.0
220,Castle Freak (1995),Horror,3.0
241,Fluke (1995),Children|Drama,4.0
243,Gordy (1995),Children|Comedy|Fantasy,3.0
254,Jefferson in Paris (1995),Drama,3.0
263,Ladybird Ladybird (1994),Drama,4.0
284,New York Cop (Nyû Yôku no koppu) (1993),Action|Crime,4.5
285,Beyond Bedlam (1993),Drama|Horror,4.0
287,Nina Takes a Lover (1994),Comedy|Romance,3.0
295,"Pyromaniac's Love Story, A (1995)",Comedy|Romance,3.0
298,Pushing Hands (Tui shou) (1992),Drama,2.0
301,Picture Bride (Bijo photo) (1994),Drama|Romance,4.0
310,Rent-a-Kid (1995),Comedy,3.0
311,Relative Fear (1994),Horror|Thriller,3.0
320,Suture (1993),Film-Noir|Thriller,3.0
324,"Sum of Us, The (1994)",Comedy|Drama,4.0
336,"Walking Dead, The (1995)",Drama|War,3.0
359,I Like It Like That (1994),Comedy|Drama|Romance,3.0
385,"Man of No Importance, A (1994)",Drama,4.0
386,S.F.W. (1994),Drama,3.0
391,Jason's Lyric (1994),Crime|Drama,4.5
406,Federal Hill (1994),Drama,3.0
409,Above the Rim (1994),Crime|Drama,2.0
449,Fear of a Black Hat (1994),Comedy,1.0
451,Flesh and Bone (1993),Drama|Mystery|Romance,4.0
467,Live Nude Girls (1995),Comedy,5.0
470,House Party 3 (1994),Comedy,1.0
476,"Inkwell, The (1994)",Comedy|Drama,1.0
478,Jimmy Hollywood (1994),Comedy|Crime|Drama,2.5
488,M. Butterfly (1993),Drama|Romance,3.0
495,In the Realm of the Senses (Ai no corrida) (1976),Drama,5.0
496,What Happened Was... (1994),Comedy|Drama|Romance|Thriller,5.0
510,Poetic Justice (1993),Drama,3.0
526,"Savage Nights (Nuits fauves, Les) (1992)",Drama,4.0
563,Germinal (1993),Drama|Romance,4.0
573,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",Drama,3.5
579,"Escort, The (Scorta, La) (1993)",Crime|Thriller,3.0
583,Dear Diary (Caro Diario) (1994),Comedy|Drama,4.0
600,Love and a .45 (1994),Action|Comedy|Crime,4.0
602,"Great Day in Harlem, A (1994)",Documentary,4.0
615,Bread and Chocolate (Pane e cioccolata) (1973),Comedy|Drama,3.0
618,Two Much (1995),Comedy|Romance,3.0
626,"Thin Line Between Love and Hate, A (1996)",Comedy,5.0
632,Land and Freedom (Tierra y libertad) (1995),Drama|War,4.0
633,Denise Calls Up (1995),Comedy,5.0
636,Frisk (1995),Drama,3.0
638,Jack and Sarah (1995),Romance,3.0
649,Cold Fever (Á köldum klaka) (1995),Comedy|Drama,3.0
679,"Run of the Country, The (1995)",Drama,4.0
698,Delta of Venus (1995),Drama,1.0
706,Sunset Park (1996),Drama,3.0
722,"Haunted World of Edward D. Wood Jr., The (1996)",Documentary,4.0
726,Last Dance (1996),Drama,3.0
757,Ashes of Time (Dung che sai duk) (1994),Drama,4.0
773,Touki Bouki (1973),Drama,3.5
775,Spirits of the Dead (1968),Horror|Mystery,3.0
790,"Unforgettable Summer, An (Un été inoubliable) (1994)",Drama,2.0
791,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)",Documentary,4.0
803,Walking and Talking (1996),Comedy|Drama|Romance,4.0
806,American Buffalo (1996),Crime|Drama,1.5
823,"Collector, The (La collectionneuse) (1967)",Drama,3.5
824,Kaspar Hauser (1993),Drama|Mystery,4.0
875,Nothing to Lose (1994),Action|Crime|Drama,3.5
876,Supercop 2 (Project S) (Chao ji ji hua) (1993),Action|Comedy|Crime|Thriller,5.0
882,"Trigger Effect, The (1996)",Drama|Thriller,2.0
889,1-900 (06) (1994),Drama|Romance,4.0
929,Foreign Correspondent (1940),Drama|Film-Noir|Mystery|Thriller,3.5
956,Penny Serenade (1941),Drama|Romance,4.0
959,Of Human Bondage (1934),Drama,3.5
